writer_id,name,country,medium_link,subscribed_times,last_article_date,articles_link,articles_published,avg_article_length,topic_tags,personal_projects_count,payment_method,phone_number,email
33,Alexis Bell,"Hughesshire, Pitcairn Islands",https://medium.com/@kimberly52,3,2023-09-13,https://medium.com/article/c63a52a6-3098-4d5b-bdda-16cfbfd25e78,48,1225,"AI,NLP",7,PayPal,(868)678-6208,jeromemontes@gmail.com
34,William Stewart,"Coxshire, Angola",https://medium.com/@kevin40,4,2017-05-21,https://medium.com/article/d680722a-84e9-48f1-98a6-124f5d1a33ad,37,590,"Health,Wellness",6,CashApp,6434829545,timnichols@gmail.com
35,Keith Moore,"New Jakeburgh, Grenada",https://medium.com/@seth22,3,2022-09-02,https://medium.com/article/53bbf77c-9c6b-4ee7-8e44-b891f89e3aa2,16,857,"Cooking,Lifestyle",14,Stripe,4207940848239,bryan59@gmail.com
36,Patrick Lam,"South Jonathan, Morocco",https://medium.com/@melissa62,1,2019-12-07,https://medium.com/article/b4e008e4-058f-40b2-b397-ea1fc98a2745,46,1484,"Finance,Investing",3,CashApp,001-097-558-719145395,brianna96@gmail.com
37,Victor Woodard,"Lake Kimberlyshire, Ghana",https://medium.com/@anayoung,0,2021-02-21,https://medium.com/article/e115912b-afa8-4be0-ac07-f347b2756802,15,1261,"Cooking,Lifestyle",6,Stripe,(664)133-1636649,joyce49@gmail.com
38,Denise Richardson,"New Jamesfort, Aruba",https://medium.com/@jessicagreen,4,2020-06-24,https://medium.com/article/0e966fdc-cdc4-4203-89fd-40735a2be417,23,309,"ML,Deep Learning",4,Wise,005-793-1739593,destinytaylor@gmail.com
39,Mrs. Debra Adams,"Lake James, Sierra Leone",https://medium.com/@markjohnston,1,2016-07-04,https://medium.com/article/fcb158d6-54c4-49c7-84a8-e0ec2aacb730,29,196,"Finance,Investing",1,PayPal,001-140-326-54134189,jessicagarcia@gmail.com
40,Connie Porter,"Johnsonland, Djibouti",https://medium.com/@jhudson,3,2020-06-19,https://medium.com/article/23613b2b-104c-4b29-a7ad-8c2f65c5856f,45,1193,"ML,Deep Learning",7,Bank Transfer,(797)737-6074120,tiffany02@gmail.com
41,Samuel Fisher,"West Kendra, Sweden",https://medium.com/@valenzuelajames,0,2016-07-08,https://medium.com/article/27eeeb53-f601-44f7-989c-d8d70bf64b58,10,1868,"Startups,Entrepreneurship",12,Bank Transfer,8161569586,fjones@gmail.com
42,Robert Cooper,"Lake Angelaton, Brunei Darussalam",https://medium.com/@haaskayla,0,2024-12-31,https://medium.com/article/b40e204f-55ee-4553-a01e-4411f943005c,1,644,"Finance,Investing",11,Stripe,43347878485292,amymoore@gmail.com
43,Sierra Contreras,"Bergfort, Bahamas",https://medium.com/@iwagner,4,2023-11-04,https://medium.com/article/f290d978-d09d-4938-b05e-8c02eaae0d7e,25,1122,"Travel,Blog",10,PayPal,0023697325,sarahjackson@gmail.com
44,Jordan Morris,"Stephensberg, Swaziland",https://medium.com/@rodriguezchristopher,4,2023-09-20,https://medium.com/article/9424c251-a6c6-4492-8983-d21ff94fa642,34,1186,"Travel,Blog",1,Bank Transfer,6278463885,heatherpotts@gmail.com
45,Nicole Alexander,"New Mallorymouth, Indonesia",https://medium.com/@kimgonzalez,4,2023-04-28,https://medium.com/article/15d72394-2c5b-48e0-89c5-4ee8dc511993,0,1930,"Cooking,Lifestyle",6,PayPal,001-486-482-7175047,randallbaker@gmail.com
46,Randy Lynch,"East Shelbyburgh, El Salvador",https://medium.com/@jenniferkeller,0,2023-03-24,https://medium.com/article/b4b262ac-1069-4180-a985-f815173e9ba3,26,1791,"Finance,Investing",11,Stripe,829-122-187134132,gary04@gmail.com
47,Vicki Thompson,"Michellehaven, China",https://medium.com/@karina84,3,2020-09-28,https://medium.com/article/10cf48e7-8db2-4716-9665-f8284c884d30,50,992,"Health,Wellness",12,CashApp,9658792583,adam55@gmail.com
48,Lisa Thompson,"Lake Deborah, Monaco",https://medium.com/@ryan86,3,2022-08-25,https://medium.com/article/c3be3feb-3181-41c3-99c3-3c1db51ca2c8,7,1358,"AI,NLP",13,CashApp,001-633-573-6374157,alvarezrichard@gmail.com
49,Frances Riggs,"South Shannonland, Eritrea",https://medium.com/@tinawright,4,2023-04-07,https://medium.com/article/a02fc185-5511-4234-964c-b3efba4d7144,3,1888,"Startups,Entrepreneurship",13,CashApp,261-382-02016692,zacharydavis@gmail.com
50,Kathy Williams,"Morrisshire, Suriname",https://medium.com/@jasonblack,3,2019-03-24,https://medium.com/article/1a1a117b-b96b-43b8-b89b-585be011fe1b,15,1458,"Startups,Entrepreneurship",1,Wise,001-331-477-0210,adamsshannon@gmail.com
51,Alicia Jones,"Michaelchester, Myanmar",https://medium.com/@gthompson,2,2017-10-18,https://medium.com/article/72acf4eb-f18a-4817-96fd-0e31f29ca031,8,1159,"AI,NLP",3,Wise,(365)247-3665,ivalencia@gmail.com
52,Heather Maldonado,"Suttonland, Kazakhstan",https://medium.com/@dana55,1,2021-12-09,https://medium.com/article/67364b14-3023-49db-83c1-ee25a9e0417c,22,1333,"ML,Deep Learning",0,Wise,+1-144-204-89666844,lwise@gmail.com
53,Meghan Martin,"Grahamstad, Slovakia (Slovak Republic)",https://medium.com/@martinezbrian,2,2021-02-21,https://medium.com/article/2d7fd7a6-4fbc-4836-bf10-c74d50df686e,43,1904,"AI,ML,Data",7,CashApp,(749)618-0211,debbie93@gmail.com
54,Stephanie Baker,"Grimeschester, Mongolia",https://medium.com/@gutierrezlisa,2,2021-02-02,https://medium.com/article/d9c1a178-2c28-4f01-8c76-72e8d89f1735,4,396,"Travel,Blog",10,Bank Transfer,(160)433-88240001,rebeccadavis@gmail.com
55,Joseph Nelson,"Robinfort, American Samoa",https://medium.com/@khull,0,2024-07-24,https://medium.com/article/5a10f60a-489b-4563-a014-33f8b3a4d871,5,1298,"AI,NLP",5,Stripe,(871)328-76323693,danielsingh@gmail.com
56,Gina Nelson,"New Brettfort, Samoa",https://medium.com/@kayla37,3,2022-12-10,https://medium.com/article/6227614c-45b0-4fbf-b926-4ce637b05162,3,768,"Cooking,Lifestyle",7,Stripe,397-573-56496902,ryanashley@gmail.com
57,Julie Roberts,"Port Steven, Falkland Islands (Malvinas)",https://medium.com/@robertmorgan,2,2018-10-06,https://medium.com/article/bcb7a00d-5429-4970-8bdb-534febe19550,24,130,"Health,Wellness",0,Stripe,452315715918495,megan56@gmail.com
58,Kimberly Crawford,"Graveshaven, Falkland Islands (Malvinas)",https://medium.com/@aburnett,2,2019-08-10,https://medium.com/article/4ef99696-1952-4059-b014-3117c478b5bb,32,1006,"AI,NLP",3,PayPal,1002523388,jacobswilliam@gmail.com
59,Andrea Mathis,"New Allison, Turks and Caicos Islands",https://medium.com/@lauren25,3,2018-03-14,https://medium.com/article/18a18865-26eb-4749-9801-9e014e21079b,27,1199,"Startups,Entrepreneurship",15,Wise,2779507178,jeffreywise@gmail.com
60,Andre Palmer,"Vaughnbury, Eritrea",https://medium.com/@jonathan07,4,2024-12-20,https://medium.com/article/7377ac80-8890-42e4-b43b-59cea04e5a58,13,1119,"Travel,Blog",9,Wise,967-474-14345495,smitheric@gmail.com
61,Stephanie Byrd,"South Brian, Antarctica (the territory South of 60 deg S)",https://medium.com/@steelesteven,2,2025-03-31,https://medium.com/article/414097ab-6c2f-4607-aaa8-c89cf1ab5c29,39,177,"Cooking,Lifestyle",12,Wise,9247412488,steven27@gmail.com
62,Teresa Washington,"New Johnchester, Bolivia",https://medium.com/@hortonfrederick,2,2022-10-29,https://medium.com/article/fb456d46-05f8-49e8-855d-06c8efd81372,28,1399,"AI,ML,Data",4,Wise,001-158-455-579106681,brandi65@gmail.com
63,Sophia Waters,"North Robert, Austria",https://medium.com/@christinahurley,4,2016-10-17,https://medium.com/article/280e0ee3-a2ff-4077-8c66-e4e97f6aa0f3,11,830,"Startups,Entrepreneurship",15,Stripe,(091)690-98440389,weekskeith@gmail.com
64,Sarah Paul,"Wilsonchester, Bermuda",https://medium.com/@richardsamy,3,2015-09-14,https://medium.com/article/0e626163-7753-4f42-ba7a-2165699d7a6d,7,671,"Cooking,Lifestyle",11,CashApp,203-529-7847,juangreen@gmail.com
65,James Shaw,"Lake Drew, Guinea",https://medium.com/@bryantjeffrey,1,2024-04-01,https://medium.com/article/4755c477-e770-444f-b198-c3cf460c7b74,5,901,"ML,Deep Learning",6,Wise,5697225521,emilywells@gmail.com
66,Jackie Martin,"Lake Chadchester, Nauru",https://medium.com/@ijohnson,3,2023-02-24,https://medium.com/article/191b1e5f-1216-48aa-93a9-4f357e1456f1,10,921,"Travel,Blog",0,Bank Transfer,964344682947107,mcbridemisty@gmail.com
67,Christine Caldwell,"South Amanda, Benin",https://medium.com/@boltonmatthew,4,2016-07-14,https://medium.com/article/28b9a641-658b-42df-8878-9794f9e1dcf1,8,1769,"Startups,Entrepreneurship",1,CashApp,850-817-455910356,palmerdaniel@gmail.com
68,Matthew Ford,"Port Donnamouth, Denmark",https://medium.com/@brian56,3,2018-05-20,https://medium.com/article/62750120-8c57-4414-87ab-dac653304183,43,1593,"Health,Wellness",4,Bank Transfer,801-710-3897,parkercynthia@gmail.com
69,Brian Norris,"Lake Shelby, Ethiopia",https://medium.com/@ajackson,2,2020-04-30,https://medium.com/article/e832ff9a-90ff-41d3-9afb-266ef56b8034,38,327,"Cooking,Lifestyle",2,CashApp,+1-447-750-89336555,jessicahill@gmail.com
70,Gregory Ramos,"Gutierrezmouth, Philippines",https://medium.com/@sharondeleon,0,2019-01-09,https://medium.com/article/12f50f0b-e5ea-4f6b-8658-8f575e9f738b,49,284,"Cooking,Lifestyle",10,Wise,33452047805688,campbellmegan@gmail.com
71,Matthew Knight,"West Bryce, Northern Mariana Islands",https://medium.com/@richardbishop,4,2022-02-20,https://medium.com/article/a2fa2c92-d1e6-4f6e-a578-1c412af49ea5,34,1252,"AI,ML,Data",7,CashApp,(726)657-3058,jacobphillips@gmail.com
72,Megan Solis,"Lake Catherine, Iran",https://medium.com/@fsmith,3,2022-01-20,https://medium.com/article/1c33b2b7-70ff-499c-bd3b-1274b693c448,20,1349,"Health,Wellness",6,CashApp,8865351172,garzajoshua@gmail.com
73,Gregory Wright,"Jeremyview, Rwanda",https://medium.com/@lisa09,0,2024-12-04,https://medium.com/article/db4b5a9d-b9a2-4125-8b3b-aee8c90832b4,21,1223,"Startups,Entrepreneurship",0,Bank Transfer,160-699-1275,brandoncrawford@gmail.com
74,Ashley Herman,"Jasonborough, Thailand",https://medium.com/@lauragriffith,1,2023-03-28,https://medium.com/article/e31fe0fa-a4ca-49cd-96d8-d294dfda5243,41,248,"Health,Wellness",6,PayPal,+1-941-915-5637259,montoyadiana@gmail.com
75,Brian Johnson,"Fowlerville, Armenia",https://medium.com/@ipeters,4,2019-10-11,https://medium.com/article/ad436fb6-f592-4a9c-8503-4fbb5e8160ad,22,1164,"ML,Deep Learning",2,Wise,9757424351,peckfelicia@gmail.com
76,Ellen Walker,"South Christopherbury, India",https://medium.com/@wilkersonsara,4,2017-08-10,https://medium.com/article/43feedff-9663-45ad-bd5b-76f6720a7595,45,132,"Cooking,Lifestyle",13,Wise,(890)040-63500333,dharmon@gmail.com
77,Kristy Mitchell,"Mitchellbury, Luxembourg",https://medium.com/@lstevens,2,2024-08-31,https://medium.com/article/5c86692e-aaed-4f01-9a64-673bece215a2,45,136,"Travel,Blog",6,CashApp,747-722-5700671,walter35@gmail.com
78,Jill Barber,"North Robert, Saint Kitts and Nevis",https://medium.com/@pamela53,0,2024-10-21,https://medium.com/article/418b741e-5229-4470-aab2-f39532a6f307,47,1500,"AI,ML,Data",0,Wise,051-940-54961984,kirsten47@gmail.com
79,Brian Jones,"Zacharyland, Kyrgyz Republic",https://medium.com/@shensley,2,2020-05-04,https://medium.com/article/6c97e889-0c78-4253-bf2f-a38bea320ee6,40,439,"Travel,Blog",10,Wise,001-421-567-5640,james69@gmail.com
80,Tina Schmitt,"Moranchester, Northern Mariana Islands",https://medium.com/@hgarcia,4,2023-07-27,https://medium.com/article/c1890f52-fd8b-4d9e-9d71-69d8bd484bd9,16,1506,"AI,NLP",8,Stripe,(429)561-326087197,summersmegan@gmail.com
81,Stanley Navarro,"East Christinastad, Grenada",https://medium.com/@dean36,3,2023-12-12,https://medium.com/article/b933ed7a-7f79-41b6-82b0-0301d75d3a3f,18,242,"ML,Deep Learning",7,Stripe,+1-969-446-0595,jackolson@gmail.com
82,Dr. Craig Hill,"South Katelynmouth, Sierra Leone",https://medium.com/@teresa85,1,2018-09-17,https://medium.com/article/090ad846-ce24-4378-9624-a626c8e50d0e,31,1501,"Health,Wellness",12,Stripe,+1-936-084-29018137,sarahsmith@gmail.com
83,Alicia Wells,"Michelefort, Seychelles",https://medium.com/@aaroncasey,1,2023-09-02,https://medium.com/article/03f58d5c-039f-4350-94fc-ad32aac5623c,6,825,"Cooking,Lifestyle",12,Stripe,(357)365-288659932,wallacemeagan@gmail.com
84,Annette Higgins,"Jefferyside, Bhutan",https://medium.com/@ncastro,1,2024-01-05,https://medium.com/article/d5cf5ead-4fad-43e0-b78c-33057fce019f,13,805,"Finance,Investing",7,Wise,652-050-12082696,harrisnicole@gmail.com
85,Tamara Chang,"Port Stephen, United Kingdom",https://medium.com/@ptorres,3,2018-10-29,https://medium.com/article/96ba0e33-093c-45bc-9ca2-69f0e9c75bc8,17,82,"ML,Deep Learning",1,CashApp,646-940-7565529,mitchell08@gmail.com
86,Daniel Johnson,"Port Jennifer, Thailand",https://medium.com/@gwebb,3,2022-08-28,https://medium.com/article/1c69aa95-4c73-47ad-936f-944bb7abaef7,36,417,"AI,ML,Data",3,Stripe,(813)358-8724,tinamcdonald@gmail.com
87,Jamie Cooper,"Rosarioport, Cayman Islands",https://medium.com/@edwardbaldwin,4,2015-09-09,https://medium.com/article/ca7ecc84-8114-4580-84e7-3fc07f9db084,41,1435,"Cooking,Lifestyle",8,Bank Transfer,+1-188-558-9965996,gutierrezandrea@gmail.com
88,Donald Franklin,"Port Pattyhaven, Niger",https://medium.com/@robertarnold,0,2024-12-17,https://medium.com/article/a20da8cd-3428-472c-b83e-8ace62c7c8e8,38,716,"ML,Deep Learning",5,PayPal,3397647126,fpatton@gmail.com
89,Ryan Brooks,"Lake Megan, Grenada",https://medium.com/@rshaffer,3,2023-11-06,https://medium.com/article/7afc70b7-df0e-4017-a56f-dbdbf6260b19,26,952,"Travel,Blog",1,Wise,+1-220-079-2071,jamesmaria@gmail.com
90,Kevin Gonzalez,"Aimeeville, Denmark",https://medium.com/@daniellewilson,0,2020-03-16,https://medium.com/article/1b66a114-9d56-4f1d-ad98-88da28330fc3,16,1598,"Health,Wellness",10,Bank Transfer,6486118589,tnewman@gmail.com
91,Erica Terry,"North Pamelatown, Spain",https://medium.com/@vsantana,0,2019-09-04,https://medium.com/article/bcf9a661-6caa-4660-82e6-baf8b098b4cb,46,1692,"ML,Deep Learning",9,PayPal,+1-299-654-19637609,myork@gmail.com
92,Bianca Martin,"West Jason, Tanzania",https://medium.com/@allisonthomas,3,2020-01-02,https://medium.com/article/593ab900-dc23-4742-be4c-cef9f28c73aa,22,1619,"AI,NLP",15,Bank Transfer,001-409-406-127972562,mnavarro@gmail.com
93,Wendy Duran,"New Crystal, Mauritania",https://medium.com/@singhian,0,2024-04-16,https://medium.com/article/4de06753-5b5d-430b-9dec-4a01f1687c08,39,1204,"Startups,Entrepreneurship",6,CashApp,(017)527-60578873,chrisgrant@gmail.com
94,Holly Hernandez PhD,"Kristinfort, India",https://medium.com/@ftaylor,3,2021-06-18,https://medium.com/article/10c27725-0d5f-436b-af91-ac338b884671,5,952,"Travel,Blog",6,PayPal,+1-133-925-413316740,natalieallen@gmail.com
95,Ryan Hester,"East Davidshire, Turkey",https://medium.com/@payneelizabeth,2,2025-01-20,https://medium.com/article/39680cee-4928-4995-8ffc-69ea742a162d,47,1690,"Travel,Blog",5,CashApp,17553833399774,kelly00@gmail.com
96,Robert Delacruz,"Lake Kaylaton, Faroe Islands",https://medium.com/@rbush,2,2023-04-03,https://medium.com/article/51eeccbe-ff69-4c8f-8904-3a73cd4db963,23,56,"AI,NLP",1,Wise,+1-669-858-5227303,stevenharmon@gmail.com
97,Justin Johnson,"Loganmouth, Marshall Islands",https://medium.com/@adamsjames,3,2021-10-06,https://medium.com/article/f1da0d7e-d81b-4b7b-a659-df600196b240,0,560,"Finance,Investing",5,Stripe,1352793355,nyoung@gmail.com
98,Robert Ramirez,"Danielleshire, Lithuania",https://medium.com/@rothangela,0,2023-08-06,https://medium.com/article/82bec6e9-f439-4c36-aabf-b99288eb4dcd,8,622,"Finance,Investing",9,Wise,848-247-0646,richard51@gmail.com
99,Jason Mccormick,"West Jose, Holy See (Vatican City State)",https://medium.com/@pwilson,1,2017-08-26,https://medium.com/article/7fe2090f-8d4c-4429-ac8b-25bebf2d3439,2,667,"AI,NLP",0,Stripe,(555)050-981289327,nicolehodges@gmail.com
100,Patricia Hernandez,"Patrickfort, Kazakhstan",https://medium.com/@upowell,4,2021-01-04,https://medium.com/article/5fc39ccb-c1b0-4f58-a602-4e8b9a8a26d1,23,1737,"Finance,Investing",5,Stripe,001-785-500-45374463,tara28@gmail.com
101,Carlos Jones,"New Margaret, Argentina",https://medium.com/@tonyherrera,1,2015-09-14,https://medium.com/article/1a7b48ec-27bb-46e4-8fb9-b094acb1cf39,34,477,"Finance,Investing",4,CashApp,+1-238-633-4420312,brandyferguson@gmail.com
102,Brian Hernandez,"Jenniferfort, South Georgia and the South Sandwich Islands",https://medium.com/@nicholas26,4,2016-06-12,https://medium.com/article/78543347-024d-4dd3-9ac1-a88706e2a5c4,35,1623,"Finance,Investing",11,Bank Transfer,1991741397,jjohnson@gmail.com
103,Shannon Ramirez,"New Rachel, Norway",https://medium.com/@andersontiffany,2,2022-08-15,https://medium.com/article/87b712d1-8040-4ea0-8fdd-c8065c9b0bb6,8,1270,"Startups,Entrepreneurship",12,Bank Transfer,274-057-947186582,mario50@gmail.com
104,Randall Morris,"Tammyshire, Sao Tome and Principe",https://medium.com/@robertsrichard,0,2024-04-05,https://medium.com/article/820fcf6f-5f75-47e9-8dbd-d4952d9f93df,26,1211,"ML,Deep Learning",1,Wise,8888762674,lvang@gmail.com
105,Jason Daniels,"Villamouth, Saint Pierre and Miquelon",https://medium.com/@jensensharon,1,2022-06-20,https://medium.com/article/f610b279-fca9-44bd-af31-2b6015835461,50,1289,"Startups,Entrepreneurship",0,Stripe,+1-350-614-352392083,toddporter@gmail.com
106,Chad Buckley,"South Amybury, Zambia",https://medium.com/@hilldanielle,1,2023-12-15,https://medium.com/article/72b854c1-48c7-4b8d-b1e5-70adfa266eb8,41,1359,"Travel,Blog",2,Bank Transfer,(970)407-78081874,seangross@gmail.com
107,Monique Harris,"West Matthewside, Paraguay",https://medium.com/@kchavez,1,2016-05-07,https://medium.com/article/9a58b9ae-7dbf-4413-81d3-e9bb0dcbb340,14,1457,"ML,Deep Learning",14,Stripe,4296415404,itaylor@gmail.com
108,Christopher Smith,"South Jacqueline, Ukraine",https://medium.com/@millerdustin,1,2021-06-04,https://medium.com/article/c435e1b3-ef89-4e2c-a08a-fb4de5f482d3,34,368,"AI,NLP",2,Bank Transfer,7797110963,welchjennifer@gmail.com
109,Justin Perez,"Derrickborough, Sao Tome and Principe",https://medium.com/@bgamble,1,2023-04-21,https://medium.com/article/67a1f91d-27a0-4e85-b113-5b76981373b5,18,852,"Startups,Entrepreneurship",3,CashApp,+1-672-316-291073013,ahale@gmail.com
